,time,value
1479,04:44:05,52
1480,04:44:20,68
1481,04:44:30,64
1482,04:44:40,62
1483,04:44:50,59
1484,04:45:00,56
1485,04:45:15,59
1486,04:45:30,65
1487,04:45:45,65
1488,04:45:50,63
1489,04:46:00,56
1490,04:46:10,63
1491,04:46:25,63
1492,04:46:30,60
1493,04:46:40,55
1494,04:46:50,58
1495,04:47:00,60
1496,04:47:10,58
1497,04:47:20,56
1498,04:47:30,57
1499,04:47:40,54
1500,04:47:50,56
1501,04:48:00,55
1502,04:48:10,57
1503,04:48:20,55
1504,04:48:35,55
1505,04:48:40,57
1506,04:48:50,60
1507,04:49:00,65
1508,04:49:10,61
1509,04:49:20,56
1510,04:49:30,55
1511,04:49:40,58
1512,04:49:50,59
1513,04:50:05,59
1514,04:50:10,55
1515,04:50:20,56
1516,04:50:35,56
1517,04:50:40,57
1518,04:50:50,58
1519,04:51:05,58
1520,04:51:10,57
1521,04:51:20,54
1522,04:51:30,56
1523,04:51:45,56
1524,04:51:50,58
1525,04:52:00,56
1526,04:52:10,57
1527,04:52:20,58
1528,04:52:30,55
1529,04:52:45,55
1530,04:53:00,55
1531,04:53:05,61
1532,04:53:10,63
1533,04:53:20,57
1534,04:53:30,55
1535,04:53:40,56
1536,04:53:50,55
1537,04:54:00,56
1538,04:54:10,57
1539,04:54:20,55
1540,04:54:30,56
1541,04:54:40,55
1542,04:54:50,56
1543,04:55:00,55
1544,04:55:10,56
1545,04:55:20,57
1546,04:55:30,58
1547,04:55:45,58
1548,04:55:50,57
1549,04:56:00,60
1550,04:56:10,59
1551,04:56:20,57
1552,04:56:30,56
1553,04:56:40,60
1554,04:56:45,61
1555,04:56:50,62
1556,04:57:00,58
1557,04:57:10,57
1558,04:57:25,57
1559,04:57:40,59
1560,04:57:50,58
1561,04:58:05,58
1562,04:58:10,59
1563,04:58:20,61
1564,04:58:35,62
1565,04:58:40,63
1566,04:58:55,63
1567,04:59:00,64
1568,04:59:05,61
1569,04:59:20,60
1570,04:59:30,57
1571,04:59:40,55
1572,04:59:50,53
1573,05:00:05,53
1574,05:00:10,55
1575,05:00:20,54
1576,05:00:35,54
1577,05:00:40,57
1578,05:00:55,57
1579,05:01:00,55
1580,05:01:10,53
1581,05:01:20,55
1582,05:01:30,56
1583,05:01:40,54
1584,05:01:50,52
1585,05:02:05,52
1586,05:02:10,54
1587,05:02:20,56
1588,05:02:30,55
1589,05:02:45,55
1590,05:03:00,56
1591,05:03:10,59
1592,05:03:20,58
1593,05:03:30,56
1594,05:03:40,54
1595,05:03:50,53
1596,05:04:05,53
1597,05:04:10,54
1598,05:04:20,56
1599,05:04:30,55
1600,05:04:40,54
1601,05:04:50,52
1602,05:05:00,52
1603,05:05:10,53
1604,05:05:20,58
1605,05:05:30,55
1606,05:05:40,54
1607,05:05:50,53
1608,05:06:00,55
1609,05:06:10,53
1610,05:06:20,52
1611,05:06:30,53
1612,05:06:40,57
1613,05:06:50,55
1614,05:07:00,57
1615,05:07:10,58
1616,05:07:20,57
1617,05:07:30,55
1618,05:07:40,54
1619,05:07:50,56
1620,05:08:00,54
1621,05:08:10,53
1622,05:08:15,54
1623,05:08:20,55
1624,05:08:35,55
1625,05:08:50,55
1626,05:09:00,59
1627,05:09:10,57
1628,05:09:20,60
1629,05:09:30,61
1630,05:09:40,60
1631,05:09:55,60
1632,05:10:10,58
1633,05:10:20,57
1634,05:10:30,59
1635,05:10:40,63
1636,05:10:50,60
1637,05:11:00,61
1638,05:11:10,59
1639,05:11:20,58
1640,05:11:30,60
1641,05:11:40,59
1642,05:11:50,60
1643,05:12:00,62
1644,05:12:10,57
1645,05:12:25,57
1646,05:12:40,57
1647,05:12:50,59
1648,05:13:00,60
1649,05:13:10,61
1650,05:13:20,62
1651,05:13:30,63
1652,05:13:40,62
1653,05:13:50,63
1654,05:14:05,63
1655,05:14:20,63
1656,05:14:25,63
1657,05:14:40,63
1658,05:14:50,59
1659,05:15:05,59
1660,05:15:10,60
1661,05:15:25,60
1662,05:15:30,64
1663,05:15:40,66
1664,05:15:50,65
1665,05:16:00,64
1666,05:16:10,64
1667,05:16:15,65
1668,05:16:20,70
1669,05:16:30,64
1670,05:16:40,58
1671,05:16:45,57
1672,05:17:00,66
1673,05:17:05,67
1674,05:17:20,62
1675,05:17:30,64
1676,05:17:45,64
1677,05:17:50,57
1678,05:18:00,61
1679,05:18:10,60
1680,05:18:15,59
1681,05:18:30,58
1682,05:18:40,55
1683,05:18:55,55
1684,05:19:00,59
1685,05:19:10,60
1686,05:19:20,64
1687,05:19:30,59
1688,05:19:40,56
1689,05:19:45,55
1690,05:19:50,55
1691,05:20:05,55
1692,05:20:10,59
1693,05:20:20,58
1694,05:20:30,55
1695,05:20:40,56
1696,05:20:55,56
1697,05:21:10,57
1698,05:21:25,57
1699,05:21:40,57
1700,05:21:50,55
1701,05:22:00,57
1702,05:22:10,55
1703,05:22:20,54
1704,05:22:30,55
1705,05:22:45,55
1706,05:23:00,55
1707,05:23:15,55
1708,05:23:20,54
1709,05:23:30,55
1710,05:23:40,54
1711,05:23:50,55
1712,05:24:00,56
1713,05:24:10,56
1714,05:24:20,54
1715,05:24:30,52
1716,05:24:40,54
1717,05:24:55,54
1718,05:25:10,53
1719,05:25:20,54
1720,05:25:30,53
1721,05:25:45,53
1722,05:26:00,63
1723,05:26:10,61
1724,05:26:20,57
1725,05:26:30,56
1726,05:26:40,55
1727,05:26:55,55
1728,05:27:00,54
1729,05:27:10,55
1730,05:27:20,56
1731,05:27:35,56
1732,05:27:40,55
1733,05:27:45,55
1734,05:28:00,55
1735,05:28:10,59
1736,05:28:20,58
1737,05:28:30,57
1738,05:28:45,57
1739,05:29:00,57
1740,05:29:10,56
1741,05:29:20,55
1742,05:29:30,52
1743,05:29:40,51
1744,05:29:50,52
1745,05:30:00,54
1746,05:30:10,53
1747,05:30:20,52
1748,05:30:30,53
1749,05:30:40,54
1750,05:30:50,55
1751,05:31:05,55
1752,05:31:10,56
1753,05:31:25,56
1754,05:31:30,54
